N	Trapezoidal	Simpson
1300010	1.905238690481944718868589916383	1.905238690482663255210127317696
1310010	1.905238690482125241132393966836	1.905238690482673913351163719199
1320010	1.905238690481982910540637021768	1.905238690482716767959914250241
1330010	1.905238690481994234815488198365	1.905238690482608410192710834963
1340010	1.905238690482104146894926088862	1.905238690482757180078010605939
1350010	1.905238690482002894555080274586	1.905238690482708774354136949114
1360010	1.905238690482008445670203400368	1.905238690482663921343942092790
1370010	1.905238690482067065445903608634	1.905238690482670138592879993666
1380010	1.905238690482073504739446434542	1.905238690482643715284893914941
1390010	1.905238690481951380206737667322	1.905238690482722541119642301055
1400010	1.905238690482071506338002109260	1.905238690482657260005794341851
1410010	1.905238690482080388122199110512	1.905238690482773611378775058256
1420010	1.905238690481967811507502119639	1.905238690482756513944195830845
1430010	1.905238690482066399312088833540	1.905238690482576435769601630454
1440010	1.905238690482150110128145570343	1.905238690482661922942497767508
1450010	1.905238690482177643659156274225	1.905238690482685681715224745858
1460010	1.905238690482146557414466769842	1.905238690482694785544026672142
1470010	1.905238690482097485556778337923	1.905238690482596641828649808303
1480010	1.905238690482057073438681982225	1.905238690482733865394493477652
1490010	1.905238690482180308194415374601	1.905238690482717656138333950366
1500010	1.905238690482066621356693758571	1.905238690482717434093729025335
1510010	1.905238690482122798641739791492	1.905238690482599750453118758742
1520010	1.905238690482096597378358637798	1.905238690482739416509616603435
1530010	1.905238690482099706002827588236	1.905238690482657482050399266882
1540010	1.905238690482267127634941061842	1.905238690482631058742413188156
1550010	1.905238690482025987193992477842	1.905238690482706109818877848738
1560010	1.905238690482093044664679837297	1.905238690482634833500696913688
1570010	1.905238690482315977448024568730	1.905238690482732977216073777527
1580010	1.905238690482165875295095247566	1.905238690482560448558047028200
1590010	1.905238690482212282617524579109	1.905238690482566443762380004046
1600010	1.905238690482153884886429295875	1.905238690482657926139609116944
1610010	1.905238690482172314588638073474	1.905238690482618402199932461372
1620010	1.905238690482121910463320091367	1.905238690482609076326525610057
1630010	1.905238690482234042988807232177	1.905238690482615737664673360996
1640010	1.905238690482219166000277255080	1.905238690482749852606048079906
1650010	1.905238690482228269829079181363	1.905238690482624175359660512186
